rxn,pos,sample,mix,rep,tech,drug,conc,timepoint,exp
PCR1-001,A1,1,ALL,A,,none,none,0,EXP20230207
PCR1-002,A2,2,ALL,B,,none,none,0,EXP20230207
PCR1-003,A3,3,ALL,C,,none,none,0,EXP20230207
PCR1-004,A4,4,minDES2,A,,none,none,0,EXP20230207
PCR1-005,A5,5,minDES2,B,,none,none,0,EXP20230207
PCR1-006,A6,6,minDES2,C,,none,none,0,EXP20230207
PCR1-007,A7,7,EFF,A,,none,none,0,EXP20230207
PCR1-008,A8,8,EFF,B,,none,none,0,EXP20230207
PCR1-009,A9,9,EFF,C,,none,none,0,EXP20230207
PCR1-010,A10,10,RPP,A,,none,none,0,EXP20230207
PCR1-011,A11,11,RPP,B,,none,none,0,EXP20230207
PCR1-012,A12,12,RPP,C,,none,none,0,EXP20230207
PCR1-013,B1,13,DES1,A,,none,none,0,EXP20230207
PCR1-014,B2,14,DES1,B,,none,none,0,EXP20230207
PCR1-015,B3,15,DES1,C,,none,none,0,EXP20230207
PCR1-016,B4,16,DES2,A,,none,none,0,EXP20230207
PCR1-017,B5,17,DES2,B,,none,none,0,EXP20230207
PCR1-018,B6,18,DES2,C,,none,none,0,EXP20230207
