rxn,pos,sample,mix,rep,tech,drug,conc,timepoint,exp
PCR1-001,A1,1,minDES2,D,,none,none,0,EXP20230217
PCR1-002,A2,2,minDES2,E,,none,none,0,EXP20230217
PCR1-003,A3,3,DES1,D,,none,none,0,EXP20230217
PCR1-004,A4,4,DES1,E,,none,none,0,EXP20230217
PCR1-005,A5,5,DES1,F,,none,none,0,EXP20230217
PCR1-006,A6,6,DES2,D,,none,none,0,EXP20230217
PCR1-007,A7,7,DES2,E,,none,none,0,EXP20230217
PCR1-008,A8,8,RPP,D,,none,none,0,EXP20230217
PCR1-009,A9,9,RPP,E,,none,none,0,EXP20230217
PCR1-010,A10,10,X7A,A,,none,none,0,EXP20230217
PCR1-011,A11,11,X7A,B,,none,none,0,EXP20230217
PCR1-012,A12,12,X7A,C,,none,none,0,EXP20230217
PCR1-013,B1,13,X6EV,A,,none,none,0,EXP20230217
PCR1-014,B2,14,X6EV,B,,none,none,0,EXP20230217
PCR1-015,B3,15,X6EV,C,,none,none,0,EXP20230217
PCR1-016,B4,16,BW350,A,,none,none,0,EXP20230217
PCR1-017,B5,17,BW350,B,,none,none,0,EXP20230217
PCR1-018,B6,18,BW350,C,,none,none,0,EXP20230217
