rxn,pos,sample,mix,rep,tech,drug,conc,timepoint,exp
PCR1-001,A1,1,ALL,A,1,none,none,20,EXP20230806
PCR1-002,A2,2,ALL,A,2,none,none,20,EXP20230806
PCR1-003,A3,3,ALL,A,3,none,none,20,EXP20230806
PCR1-004,A4,4,ALL,A,1,TET,0.5,20,EXP20230806
PCR1-005,A5,5,ALL,A,2,TET,0.5,20,EXP20230806
PCR1-006,A6,6,ALL,A,3,TET,0.5,20,EXP20230806
,,,,,,,,,
PCR1-008,A8,8,ALL,A,2,TET,1,20,EXP20230806
PCR1-009,A9,9,ALL,A,3,TET,1,20,EXP20230806
,,,,,,,,,
PCR1-011,A11,11,ALL,A,2,TET,4,20,EXP20230806
PCR1-012,A12,12,ALL,A,3,TET,4,20,EXP20230806
PCR1-013,B1,13,ALL,B,1,none,none,20,EXP20230806
PCR1-014,B2,14,ALL,B,2,none,none,20,EXP20230806
PCR1-015,B3,15,ALL,B,3,none,none,20,EXP20230806
PCR1-016,B4,16,ALL,B,1,TET,0.5,20,EXP20230806
PCR1-017,B5,17,ALL,B,2,TET,0.5,20,EXP20230806
PCR1-018,B6,18,ALL,B,3,TET,0.5,20,EXP20230806
PCR1-019,B7,19,ALL,B,1,TET,1,20,EXP20230806
PCR1-020,B8,20,ALL,B,2,TET,1,20,EXP20230806
PCR1-021,B9,21,ALL,B,3,TET,1,20,EXP20230806
PCR1-022,B10,22,ALL,B,1,TET,4,20,EXP20230806
PCR1-023,B11,23,ALL,B,2,TET,4,20,EXP20230806
PCR1-024,B12,24,ALL,B,3,TET,4,20,EXP20230806
PCR1-025,C1,25,ALL,C,1,none,none,20,EXP20230806
PCR1-026,C2,26,ALL,C,2,none,none,20,EXP20230806
PCR1-027,C3,27,ALL,C,3,none,none,20,EXP20230806
PCR1-028,C4,28,ALL,C,1,TET,0.5,20,EXP20230806
PCR1-029,C5,29,ALL,C,2,TET,0.5,20,EXP20230806
PCR1-030,C6,30,ALL,C,3,TET,0.5,20,EXP20230806
PCR1-031,C7,31,ALL,C,1,TET,1,20,EXP20230806
PCR1-032,C8,32,ALL,C,2,TET,1,20,EXP20230806
PCR1-033,C9,33,ALL,C,3,TET,1,20,EXP20230806
PCR1-034,C10,34,ALL,C,1,TET,4,20,EXP20230806
PCR1-035,C11,35,ALL,C,2,TET,4,20,EXP20230806
PCR1-036,C12,36,ALL,C,3,TET,4,20,EXP20230806
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
PCR1-049,E1,37,ALL,A,1,TET,16,20,EXP20230806
PCR1-050,E2,38,ALL,A,2,TET,16,20,EXP20230806
PCR1-051,E3,39,ALL,A,3,TET,16,20,EXP20230806
PCR1-052,E4,40,ALL,A,1,TIG,0.25,20,EXP20230806
PCR1-053,E5,41,ALL,A,2,TIG,0.25,20,EXP20230806
PCR1-054,E6,42,ALL,A,3,TIG,0.25,20,EXP20230806
PCR1-055,E7,43,ALL,A,1,TIG,0.5,20,EXP20230806
PCR1-056,E8,44,ALL,A,2,TIG,0.5,20,EXP20230806
PCR1-057,E9,45,ALL,A,3,TIG,0.5,20,EXP20230806
PCR1-058,E10,46,ALL,A,1,TIG,2,20,EXP20230806
PCR1-059,E11,47,ALL,A,2,TIG,2,20,EXP20230806
PCR1-060,E12,48,ALL,A,3,TIG,2,20,EXP20230806
PCR1-061,F1,49,ALL,B,1,TET,16,20,EXP20230806
PCR1-062,F2,50,ALL,B,2,TET,16,20,EXP20230806
PCR1-063,F3,51,ALL,B,3,TET,16,20,EXP20230806
PCR1-064,F4,52,ALL,B,1,TIG,0.25,20,EXP20230806
PCR1-065,F5,53,ALL,B,2,TIG,0.25,20,EXP20230806
PCR1-066,F6,54,ALL,B,3,TIG,0.25,20,EXP20230806
PCR1-067,F7,55,ALL,B,1,TIG,0.5,20,EXP20230806
PCR1-068,F8,56,ALL,B,2,TIG,0.5,20,EXP20230806
PCR1-069,F9,57,ALL,B,3,TIG,0.5,20,EXP20230806
PCR1-070,F10,58,ALL,B,1,TIG,2,20,EXP20230806
PCR1-071,F11,59,ALL,B,2,TIG,2,20,EXP20230806
PCR1-072,F12,60,ALL,B,3,TIG,2,20,EXP20230806
PCR1-073,G1,61,ALL,C,1,TET,16,20,EXP20230806
PCR1-074,G2,62,ALL,C,2,TET,16,20,EXP20230806
PCR1-075,G3,63,ALL,C,3,TET,16,20,EXP20230806
PCR1-076,G4,64,ALL,C,1,TIG,0.25,20,EXP20230806
PCR1-077,G5,65,ALL,C,2,TIG,0.25,20,EXP20230806
PCR1-078,G6,66,ALL,C,3,TIG,0.25,20,EXP20230806
PCR1-079,G7,67,ALL,C,1,TIG,0.5,20,EXP20230806
PCR1-080,G8,68,ALL,C,2,TIG,0.5,20,EXP20230806
PCR1-081,G9,69,ALL,C,3,TIG,0.5,20,EXP20230806
PCR1-082,G10,70,ALL,C,1,TIG,2,20,EXP20230806
PCR1-083,G11,71,ALL,C,2,TIG,2,20,EXP20230806
PCR1-084,G12,72,ALL,C,3,TIG,2,20,EXP20230806
