rxn,pos,sample,mix,rep,tech,drug,conc,timepoint,exp
PCR1-014,B2,1,DES1,B,,TET,0.5,20,EXP20230921B
PCR1-015,B3,2,DES1,B,,TET,1,20,EXP20230921B
PCR1-016,B4,3,DES1,B,,TET,4,20,EXP20230921B
PCR1-017,B5,4,DES1,B,,DOX,0.5,20,EXP20230921B
PCR1-018,B6,5,DES1,B,,DOX,1,20,EXP20230921B
PCR1-019,B7,6,DES1,B,,DOX,4,20,EXP20230921B
PCR1-020,B8,7,DES1,B,,MIN,0.5,20,EXP20230921B
PCR1-021,B9,8,DES1,B,,MIN,1,20,EXP20230921B
PCR1-022,B10,9,DES1,B,,MIN,4,20,EXP20230921B
PCR1-026,C2,10,DES1,D,,TET,0.5,20,EXP20230921B
PCR1-027,C3,11,DES1,D,,TET,1,20,EXP20230921B
PCR1-028,C4,12,DES1,D,,TET,4,20,EXP20230921B
PCR1-029,C5,13,DES1,D,,DOX,0.5,20,EXP20230921B
PCR1-030,C6,14,DES1,D,,DOX,1,20,EXP20230921B
PCR1-031,C7,15,DES1,D,,DOX,4,20,EXP20230921B
PCR1-032,C8,16,DES1,D,,MIN,0.5,20,EXP20230921B
PCR1-033,C9,17,DES1,D,,MIN,1,20,EXP20230921B
PCR1-034,C10,18,DES1,D,,MIN,4,20,EXP20230921B
PCR1-038,D2,19,DES1,E,,TET,0.5,20,EXP20230921B
PCR1-039,D3,20,DES1,E,,TET,1,20,EXP20230921B
PCR1-040,D4,21,DES1,E,,TET,4,20,EXP20230921B
PCR1-041,D5,22,DES1,E,,DOX,0.5,20,EXP20230921B
PCR1-042,D6,23,DES1,E,,DOX,1,20,EXP20230921B
PCR1-043,D7,24,DES1,E,,DOX,4,20,EXP20230921B
PCR1-044,D8,25,DES1,E,,MIN,0.5,20,EXP20230921B
PCR1-045,D9,26,DES1,E,,MIN,1,20,EXP20230921B
PCR1-046,D10,27,DES1,E,,MIN,4,20,EXP20230921B
PCR1-050,E2,28,DES2,A,,TET,0.5,20,EXP20230921B
PCR1-051,E3,29,DES2,A,,TET,1,20,EXP20230921B
PCR1-052,E4,30,DES2,A,,TET,4,20,EXP20230921B
PCR1-053,E5,31,DES2,A,,DOX,0.5,20,EXP20230921B
PCR1-054,E6,32,DES2,A,,DOX,1,20,EXP20230921B
PCR1-055,E7,33,DES2,A,,DOX,4,20,EXP20230921B
PCR1-056,E8,34,DES2,A,,MIN,0.5,20,EXP20230921B
PCR1-057,E9,35,DES2,A,,MIN,1,20,EXP20230921B
PCR1-058,E10,36,DES2,A,,MIN,4,20,EXP20230921B
PCR1-062,F2,37,DES2,B,,TET,0.5,20,EXP20230921B
PCR1-063,F3,38,DES2,B,,TET,1,20,EXP20230921B
PCR1-064,F4,39,DES2,B,,TET,4,20,EXP20230921B
PCR1-065,F5,40,DES2,B,,DOX,0.5,20,EXP20230921B
PCR1-066,F6,41,DES2,B,,DOX,1,20,EXP20230921B
PCR1-067,F7,42,DES2,B,,DOX,4,20,EXP20230921B
PCR1-068,F8,43,DES2,B,,MIN,0.5,20,EXP20230921B
PCR1-069,F9,44,DES2,B,,MIN,1,20,EXP20230921B
PCR1-070,F10,45,DES2,B,,MIN,4,20,EXP20230921B
PCR1-074,G2,46,DES2,D,,TET,0.5,20,EXP20230921B
PCR1-075,G3,47,DES2,D,,TET,1,20,EXP20230921B
PCR1-076,G4,48,DES2,D,,TET,4,20,EXP20230921B
PCR1-077,G5,49,DES2,D,,DOX,0.5,20,EXP20230921B
PCR1-078,G6,50,DES2,D,,DOX,1,20,EXP20230921B
PCR1-079,G7,51,DES2,D,,DOX,4,20,EXP20230921B
PCR1-080,G8,52,DES2,D,,MIN,0.5,20,EXP20230921B
PCR1-081,G9,53,DES2,D,,MIN,1,20,EXP20230921B
PCR1-082,G10,54,DES2,D,,MIN,4,20,EXP20230921B
