rxn,pos,sample,mix,rep,tech,drug,conc,timepoint,exp
PCR1-038,D2,38,ALL,B,,TET-ctrl,1,24,EXP20231128-02
PCR1-039,D3,39,ALL,C,,TET-ctrl,1,24,EXP20231128-02
PCR1-040,D4,40,ALL,A,,transf,TET-DOX,24,EXP20231128-02
PCR1-041,D5,41,ALL,B,,transf,TET-DOX,24,EXP20231128-02
PCR1-042,D6,42,ALL,C,,transf,TET-DOX,24,EXP20231128-02
PCR1-043,D7,43,ALL,A,,transf,TET-TIG,24,EXP20231128-02
PCR1-044,D8,44,ALL,B,,transf,TET-TIG,24,EXP20231128-02
PCR1-045,D9,45,ALL,C,,transf,TET-TIG,24,EXP20231128-02
PCR1-046,D10,46,ALL,A,,transf,DOX-TET,24,EXP20231128-02
PCR1-047,D11,47,ALL,B,,transf,DOX-TET,24,EXP20231128-02
PCR1-048,D12,48,ALL,C,,transf,DOX-TET,24,EXP20231128-02
PCR1-049,E1,49,ALL,A,,transf,DOX-TIG,24,EXP20231128-02
PCR1-050,E2,50,ALL,B,,transf,DOX-TIG,24,EXP20231128-02
PCR1-051,E3,51,ALL,C,,transf,DOX-TIG,24,EXP20231128-02
PCR1-052,E4,52,ALL,A,,transf,TIG-TET,24,EXP20231128-02
PCR1-053,E5,53,ALL,B,,transf,TIG-TET,24,EXP20231128-02
PCR1-054,E6,54,ALL,C,,transf,TIG-TET,24,EXP20231128-02
PCR1-055,E7,55,ALL,A,,transf,TIG-DOX,24,EXP20231128-02
PCR1-056,E8,56,ALL,B,,transf,TIG-DOX,24,EXP20231128-02
PCR1-057,E9,57,ALL,C,,transf,TIG-DOX,24,EXP20231128-02
PCR1-058,E10,58,ALL,A,,transf,TET-DOX-TIG,24,EXP20231128-02
PCR1-059,E11,59,ALL,B,,transf,TET-DOX-TIG,24,EXP20231128-02
PCR1-060,E12,60,ALL,C,,transf,TET-DOX-TIG,24,EXP20231128-02
PCR1-061,F1,61,ALL,A,,transf,TET-TIG-DOX,24,EXP20231128-02
PCR1-062,F2,62,ALL,B,,transf,TET-TIG-DOX,24,EXP20231128-02
PCR1-063,F3,63,ALL,C,,transf,TET-TIG-DOX,24,EXP20231128-02
PCR1-064,F4,64,ALL,A,,transf,DOX-TET-TIG,24,EXP20231128-02
PCR1-065,F5,65,ALL,B,,transf,DOX-TET-TIG,24,EXP20231128-02
PCR1-066,F6,66,ALL,C,,transf,DOX-TET-TIG,24,EXP20231128-02
PCR1-067,F7,67,ALL,A,,transf,DOX-TIG-TET,24,EXP20231128-02
PCR1-068,F8,68,ALL,B,,transf,DOX-TIG-TET,24,EXP20231128-02
PCR1-069,F9,69,ALL,C,,transf,DOX-TIG-TET,24,EXP20231128-02
PCR1-070,F10,70,ALL,A,,transf,TIG-TET-DOX,24,EXP20231128-02
PCR1-071,F11,71,ALL,B,,transf,TIG-TET-DOX,24,EXP20231128-02
PCR1-072,F12,72,ALL,C,,transf,TIG-TET-DOX,24,EXP20231128-02
PCR1-073,G1,73,ALL,A,,transf,TIG-DOX-TET,24,EXP20231128-02
PCR1-074,G2,74,ALL,B,,transf,TIG-DOX-TET,24,EXP20231128-02
PCR1-075,G3,75,ALL,C,,transf,TIG-DOX-TET,24,EXP20231128-02
